gas_param,client_name,runtime_ms,pvalue,conf_int_low,conf_int_high,test_name,target_opcode,model_coef_name,source_label,glue_adjustment,rsquared,rsquared_adj,param_bn128,param_mem_size,param_mod_bits,new_gas_decimal,new_gas_rounded,poor_fit,is_winner,selected_test,selected_opcode,selected_model_coef_name
OPCODE_MOD,erigon,9.075972609951686e-06,0.001,8.567745836424523e-06,9.670497226597958e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.7558946566755242,0.7548286944776008,,,63,0.9075972609951686,1,False,False,test_mod,MOD,target_coef
OPCODE_MOD,ethrex,1.0361042115460865e-05,0.001,1.0111825875349547e-05,1.0630138687321526e-05,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8376469910961831,0.8375429186545781,,,127,1.0361042115460863,2,False,True,test_mod,MOD,target_coef
OPCODE_MOD,ethrex,8.857476968738047e-06,0.001,8.660300437369666e-06,9.061224156269432e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8404861171280189,0.8403838646389984,,,191,0.8857476968738047,1,False,False,test_mod,MOD,target_coef
OPCODE_MOD,ethrex,6.9399544108866386e-06,0.001,6.751838047461891e-06,7.111552026577107e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8368574790638292,0.8367529005247676,,,255,0.6939954410886638,1,False,False,test_mod,MOD,target_coef
OPCODE_MOD,ethrex,5.5988296784652785e-06,0.001,5.46155110744176e-06,5.734009498929486e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8289414035461561,0.8288317505997113,,,63,0.5598829678465279,1,False,False,test_mod,MOD,target_coef
OPCODE_MOD,geth,1.1570005529016309e-05,0.001,1.139845858346976e-05,1.1743089326961802e-05,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8333971398962676,0.8333564057006433,,,127,1.157000552901631,2,False,True,test_mod,MOD,target_coef
OPCODE_MOD,geth,1.1076427156403036e-05,0.001,1.0914165786072048e-05,1.1258506265945796e-05,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8339909527019713,0.833950363692852,,,191,1.1076427156403035,2,False,False,test_mod,MOD,target_coef
OPCODE_MOD,geth,1.013781363894516e-05,0.001,9.989975258727251e-06,1.0280562094388289e-05,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.834276161595539,0.8342356423196454,,,255,1.0137813638945161,2,False,False,test_mod,MOD,target_coef
OPCODE_MOD,geth,8.186909588178817e-06,0.001,8.061341049178029e-06,8.307709404188825e-06,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8315929635096109,0.8315517881950656,,,63,0.8186909588178817,1,False,False,test_mod,MOD,target_coef
OPCODE_MOD,nethermind,1.0109731351290954e-05,0.001,9.903784988952782e-06,1.0308657397166159e-05,test_mod,MOD,target_coef,presets[arithmetic_mod_bits],0.0,0.8846855702494076,0.8845855577344461,,,127,1.0109731351290954,2,False,False,test_mod,MOD,target_coef
