test_name,client_name,target_opcode,source_label,nobs,intercept_runtime_ms,intercept_pvalue,rsquared,rsquared_adj,target_coef_runtime_ms,target_coef_pvalue,target_coef_conf_int_low,target_coef_conf_int_high,param_mod_bits,param_mem_size,msg_words_runtime_ms,msg_words_pvalue,msg_words_conf_int_low,msg_words_conf_int_high,num_rounds_runtime_ms,num_rounds_pvalue,num_rounds_conf_int_low,num_rounds_conf_int_high,param_bn128,num_pairs_runtime_ms,num_pairs_pvalue,num_pairs_conf_int_low,num_pairs_conf_int_high
test_alt_bn128,besu,ECADD,presets[precompile_bn128_add],110,131.66795877729493,0.001,0.8749115992546446,0.8737533733218172,0.0006589473002150437,0.001,0.0006117046549648161,0.0007145410432662754,,,,,,,,,,,add,,,,
test_alt_bn128,geth,ECADD,presets[precompile_bn128_add],165,77.56234153936754,0.001,0.8828630032157473,0.8821443713336353,0.0003984818588646791,0.001,0.0003771233714465562,0.00042123426413305255,,,,,,,,,,,add,,,,
test_alt_bn128,nethermind,ECADD,presets[precompile_bn128_add],44,78.5183912783328,0.001,0.9658153535430571,0.9650014333893204,0.00046584490995552606,0.001,0.00043563474940611096,0.0004939604416274671,,,,,,,,,,,add,,,,
test_alt_bn128,reth,ECADD,presets[precompile_bn128_add],11,171.90351609568276,0.001,0.9085475801595362,0.8983862001772625,0.0005527792029887667,0.001,0.00044168626736655066,0.0007147651820593647,,,,,,,,,,,add,,,,
test_alt_bn128,besu,ECADD,presets[precompile_bn128_add],110,76.15010118231548,0.001,0.8701531388344029,0.8689508530828696,0.00037665836075093546,0.001,0.0003471767976632924,0.0004063492483392901,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,geth,ECADD,presets[precompile_bn128_add],165,12.595580461493622,0.001,0.8071996966613686,0.8060168727145058,0.00010911979725182234,0.001,0.00010108579879692414,0.00011664040624813437,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,nethermind,ECADD,presets[precompile_bn128_add],44,17.77318434539159,0.001,0.9722093524477432,0.9715476703631657,0.00021318167217846074,0.001,0.00020310084707250326,0.00022199769786848523,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,reth,ECADD,presets[precompile_bn128_add],11,4.074264257089733,0.406,0.9827660584203706,0.9808511760226339,0.00037981569655480817,0.001,0.00034457937222941257,0.00039089167473817346,,,,,,,,,,,add_infinities,,,,
test_alt_bn128,besu,ECADD,presets[precompile_bn128_add],110,81.14677013860837,0.001,0.8614095787840721,0.8601263341431838,0.00039735885382372586,0.001,0.00036487155981850433,0.00042983318392154603,,,,,,,,,,,add_negative,,,,
test_alt_bn128,geth,ECADD,presets[precompile_bn128_add],165,16.249120633335366,0.001,0.8672602302180169,0.8664458758021765,0.00017412540389653578,0.001,0.0001641674532631146,0.00018373602095547514,,,,,,,,,,,add_negative,,,,
test_alt_bn128,nethermind,ECADD,presets[precompile_bn128_add],44,33.307787302655264,0.001,0.946417402638286,0.9451416265106262,0.0002786065070372642,0.001,0.0002608227500619958,0.00029780372061577947,,,,,,,,,,,add_negative,,,,
test_alt_bn128,reth,ECADD,presets[precompile_bn128_add],11,24.27750322842229,0.006,0.9852966142562951,0.9836629047292168,0.00035170496578551373,0.001,0.00033359515617260274,0.0003743750729545178,,,,,,,,,,,add_negative,,,,
test_alt_bn128,besu,ECADD,presets[precompile_bn128_add],110,130.0691919375544,0.001,0.8618525203515972,0.8605733770215194,0.0006691261139838045,0.001,0.0006161061934809162,0.0007249705940466291,,,,,,,,,,,double,,,,
test_alt_bn128,geth,ECADD,presets[precompile_bn128_add],165,73.75139901597929,0.001,0.8656202552004931,0.8647958395882263,0.0004141476639137999,0.001,0.00038822511382924997,0.00044106673880401715,,,,,,,,,,,double,,,,
test_alt_bn128,nethermind,ECADD,presets[precompile_bn128_add],44,53.027247782256254,0.001,0.9566538418408644,0.9556217904561232,0.0004884890036884812,0.001,0.00045765497797898696,0.0005161410696282863,,,,,,,,,,,double,,,,
test_alt_bn128,reth,ECADD,presets[precompile_bn128_add],11,128.21110836717617,0.019,0.8687313483902741,0.8541459426558601,0.0006046957829403812,0.001,0.00048377617524841403,0.0007514921024903289,,,,,,,,,,,double,,,,
test_alt_bn128_benchmark,besu,ECPAIRING,presets[precompile_bn128_pairing],550,51.57616995220211,0.001,0.8514098538333694,0.8508665626225225,0.047269765043967314,0.001,0.04479143561769909,0.04975265799443371,,,,,,,,,,,,0.026838071901852344,0.001,0.025768485667914273,0.02796041403323081
test_alt_bn128_benchmark,geth,ECPAIRING,presets[precompile_bn128_pairing],825,55.00122236273059,0.001,0.8164297585636332,0.8159831156404304,0.04430936780907336,0.001,0.04216790901351799,0.046438825412979216,,,,,,,,,,,,0.026504196024971054,0.001,0.025513268822965122,0.02750272455810683
test_alt_bn128_benchmark,nethermind,ECPAIRING,presets[precompile_bn128_pairing],220,82.86445911719656,0.001,0.9544263421552281,0.9540063084423731,0.07003765069018954,0.001,0.06368069796904015,0.07693366934714028,,,,,,,,,,,,0.10661811396976055,0.001,0.10315449143428941,0.11010460976493305
test_alt_bn128_benchmark,reth,ECPAIRING,presets[precompile_bn128_pairing],55,100.77310076350322,0.001,0.821717335480118,0.814860309921661,0.052958240320616155,0.001,0.0391493873968301,0.06796997372887877,,,,,,,,,,,,0.058885465825390414,0.001,0.05106420816920615,0.06709211011068661
test_alt_bn128_uncachable,besu,ECADD,presets[precompile_bn128_add_uncachable],110,165.82126479008082,0.001,0.8586576622509554,0.8573489369014272,0.0009362877740348613,0.001,0.0008588530942421275,0.00101027124938899,,,,,,,,,,,,,,,
test_alt_bn128_uncachable,geth,ECADD,presets[precompile_bn128_add_uncachable],165,106.43724878497112,0.001,0.8656876372979456,0.8648636350727796,0.0006121510139838105,0.001,0.0005736187399235597,0.0006532014693882602,,,,,,,,,,,,,,,
test_alt_bn128_uncachable,nethermind,ECADD,presets[precompile_bn128_add_uncachable],44,78.71852458618466,0.001,0.9734652965427272,0.9728335178889825,0.0007894653268693386,0.001,0.0007414981327427372,0.0008357799564309082,,,,,,,,,,,,,,,
test_alt_bn128_uncachable,reth,ECADD,presets[precompile_bn128_add_uncachable],11,196.14736673774325,0.042,0.8046383979121807,0.7829315532357564,0.0009438830583755737,0.001,0.000665117768682112,0.0012368494925931103,,,,,,,,,,,,,,,
test_arithmetic,besu,DIV,presets[arithmetic_div],110,130.80227109913733,0.001,0.8662171506603105,0.8649784205738319,1.7631660529072273e-05,0.001,1.6378182917158116e-05,1.89634172134003e-05,,,,,,,,,,,,,,,
test_arithmetic,geth,DIV,presets[arithmetic_div],165,89.0752283203622,0.001,0.8121409249912357,0.8109884153286052,8.94065374287294e-06,0.001,8.160138366001665e-06,9.669221892847278e-06,,,,,,,,,,,,,,,
test_arithmetic,nethermind,DIV,presets[arithmetic_div],44,137.24360886409767,0.001,0.6534990024223915,0.6452489786705435,7.349989101015368e-06,0.001,5.216513705695975e-06,9.616819500626797e-06,,,,,,,,,,,,,,,
test_arithmetic,reth,DIV,presets[arithmetic_div],11,97.62825200839065,0.001,0.7823645370712372,0.7581828189680413,5.284770290140455e-06,0.001,4.188898785448891e-06,7.210706485113184e-06,,,,,,,,,,,,,,,
test_arithmetic,besu,SDIV,presets[arithmetic_sdiv],110,131.4979440957856,0.001,0.8439533555522412,0.8425084792147619,1.7912793691871107e-05,0.001,1.6451583917867772e-05,1.9359626315634262e-05,,,,,,,,,,,,,,,
test_arithmetic,geth,SDIV,presets[arithmetic_sdiv],165,80.88038358009005,0.001,0.8332837171967457,0.8322609179157441,1.0297158643723595e-05,0.001,9.551457677145503e-06,1.103409142630381e-05,,,,,,,,,,,,,,,
test_arithmetic,nethermind,SDIV,presets[arithmetic_sdiv],44,86.30972485976427,0.001,0.9549935016379605,0.9539219183436262,1.2144820238902897e-05,0.001,1.1336249172855903e-05,1.2885518780836768e-05,,,,,,,,,,,,,,,
test_arithmetic,reth,SDIV,presets[arithmetic_sdiv],11,101.5503080666026,0.002,0.8251812924155231,0.8057569915728034,7.75598740683878e-06,0.001,6.290576812605415e-06,1.0068697575203418e-05,,,,,,,,,,,,,,,
test_blake2f_benchmark,besu,BLAKE2F,presets[precompile_blake2f],440,162.00626954766685,0.001,0.8493474391356701,0.8486579537312567,0.0003497132339966499,0.001,0.0003347182988717351,0.0003652974418744896,,,,,,,2.204648748429991e-06,0.001,1.6955765652396673e-06,2.7195477143892176e-06,,,,,
test_blake2f_benchmark,geth,BLAKE2F,presets[precompile_blake2f],660,35.025078440683146,0.001,0.9307507051410712,0.9305399005905113,0.00010445605954864446,0.001,0.00010176838403140347,0.00010720115089966839,,,,,,,2.070712769970533e-06,0.001,1.966157257979353e-06,2.1765338641456785e-06,,,,,
test_blake2f_benchmark,nethermind,BLAKE2F,presets[precompile_blake2f],176,28.825360361985194,0.001,0.9861938328507368,0.9860342239819592,0.00016883182245886586,0.001,0.00016571708826025507,0.00017207685103661042,,,,,,,1.6042041612078214e-06,0.001,1.4758239750221628e-06,1.7304431143832952e-06,,,,,
test_blake2f_benchmark,reth,BLAKE2F,presets[precompile_blake2f],44,13.39036153953806,0.054,0.9908785715690445,0.9904336238407052,0.00038099354663753384,0.001,0.0003713690240528018,0.00038928652663249464,,,,,,,0.0,1.0,0.0,0.0,,,,,
test_blake2f_uncachable,besu,BLAKE2F,presets[precompile_blake2f_uncachable],440,154.85324214833844,0.001,0.8525202894729128,0.8518453251226744,0.0004259192236000709,0.001,0.0004074742793688232,0.0004451029880070159,,,,,,,2.1882511599465308e-06,0.001,1.5671926490120606e-06,2.811700383406048e-06,,,,,
test_blake2f_uncachable,geth,BLAKE2F,presets[precompile_blake2f_uncachable],660,24.294354109248456,0.001,0.9233818654120907,0.9231486290815338,0.0001349583015587557,0.001,0.00013114512768745042,0.00013891812240281117,,,,,,,2.010745379245506e-06,0.001,1.887674679195828e-06,2.1424273933053865e-06,,,,,
test_blake2f_uncachable,nethermind,BLAKE2F,presets[precompile_blake2f_uncachable],176,30.810416957013622,0.001,0.9836780326749295,0.9834893394110559,0.00017652359312024586,0.001,0.00017284848398165447,0.0001801744587358395,,,,,,,1.7017016209365077e-06,0.001,1.5507862898639545e-06,1.8645940783430166e-06,,,,,
test_blake2f_uncachable,reth,BLAKE2F,presets[precompile_blake2f_uncachable],44,19.660461882442064,0.008,0.9876378562951983,0.9870348248949641,0.0003734621325471148,0.001,0.00036335197756016914,0.00038377892806584025,,,,,,,0.0,1.0,0.0,3.223572375523277e-07,,,,,
test_bls12_381,besu,BLS12_G1ADD,presets[precompile_bls_g1add],110,87.70436376582128,0.002,0.860110270060818,0.8588149947836033,0.0017947983675026726,0.001,0.0016512189029139963,0.0019247196692791563,,,,,,,,,,,,,,,
test_bls12_381,geth,BLS12_G1ADD,presets[precompile_bls_g1add],165,67.3362436614187,0.001,0.9035804610239595,0.902988930109996,0.0007348002943541917,0.001,0.0006966799639507508,0.0007751677986019057,,,,,,,,,,,,,,,
test_bls12_381,nethermind,BLS12_G1ADD,presets[precompile_bls_g1add],44,92.12155131580433,0.001,0.9677172828588911,0.9669486467364838,0.0009866160411730962,0.001,0.0009341208559837721,0.0010457380147758943,,,,,,,,,,,,,,,
test_bls12_381,reth,BLS12_G1ADD,presets[precompile_bls_g1add],11,77.20836687135191,0.073,0.8615304700448521,0.8461449667165023,0.0007866388699682458,0.001,0.000606790431963264,0.0009860225524989114,,,,,,,,,,,,,,,
